SSOP,TAP,EX,PIMS Punch,SPIE,NR13,SIG,TagLines,TOOLs,TRAINING,CTO,F.Status,Primeiro Description
5111-501,OK,OK,OK,OK,NOK,NOK,OK,NOK,OK,OK,NOK,SEAWATER MAIN HEADER
5111-504,OK,OK,OK,OK,NOK,OK,OK,NOK,NOK,OK,NOK,MARINE GROWING PROTECTION SYSTEM UNIT (Z-5260501A/B)
5115-501,NOK,OK,OK,OK,NOK,NOK,OK,NOK,NOK,OK,NOK,FRESH WATER STORAGE TANKS AND LOADING HEADER (TQ-5115502S/P)
5115-502,NOK,OK,OK,OK,NOK,NOK,OK,NOK,NOK,OK,NOK,FRESHWATER HYDROPHORE UNIT & DISTRIBUTION (Z-5115501)
5121-501,NOK,OK,OK,OK,NOK,NOK,OK,NOK,NOK,OK,NOK,"POTABLE WATER MAKER, ULTRAVIOLET STERILIZER UNIT AND DISTRIBUTION (UM-5121501A/B & Z-5121501A/B)"
5124-502,NOK,OK,OK,NOK,NOK,NOK,OK,NOK,NOK,OK,NOK,CENTRAL FRESH WATER SYSTEM (B-5120503A/B/C/D & P-5120501A/B)
5125-501,NOK,OK,NOK,OK,NOK,NOK,NOK,NOK,NOK,OK,NOK,CALORIFIER UNIT & DISTRIBUTION (Z-5125501)
5133-501,NOK,OK,OK,OK,NOK,OK,OK,NOK,OK,OK,NOK,DIESEL OIL STORAGE SYSTEM (TQ-5133501S/P)
5133-503,NOK,OK,OK,OK,NOK,NOK,NOK,NOK,NOK,OK,NOK,DIESEL OIL SERVICE PUMPS AND  DISTRIBUTION (B-5133501A/B)
5133-504,NOK,OK,OK,OK,NOK,NOK,OK,NOK,NOK,OK,NOK,D.O. WELL TRANSFER PUMP (B-5133502A/B)
5134-504,NOK,NOK,NOK,NOK,NOK,NOK,NOK,NOK,NOK,OK,NOK,AIR COMPRESSOR UNIT UC-5134501A
5134-505,NOK,NOK,NOK,NOK,NOK,NOK,NOK,NOK,NOK,OK,NOK,AIR COMPRESSOR UNIT UC-5134501B
5134-506,NOK,OK,NOK,NOK,NOK,NOK,NOK,NOK,NOK,OK,NOK,AIR COMPRESSOR UNIT UC-5134502A&AIR DRYING UNIT UA-5134501A&AIR RECEIVER V-5134501A&DISTRIBUTION
5134-507,NOK,OK,NOK,NOK,NOK,NOK,NOK,NOK,NOK,OK,NOK,AIR COMPRESSOR UNIT UC-5134502B&AIR DRYING UNIT UA-5134501B/C&AIR RECEIVER V-5134501B/C
5134-508,OK,OK,OK,OK,NOK,NOK,OK,NOK,NOK,OK,NOK,QUICK CLOSING VALVE SYSTEM
5138-501,OK,OK,OK,NOK,NOK,NOK,OK,NOK,OK,OK,NOK,EMERGENCY GENERATOR STARTUP AIR COMPRESSOR & VESSEL& DISTRIBUTION (UC-UG-5261501 & V-UG-5261501)
5138-502,OK,OK,NOK,OK,NOK,OK,OK,NOK,OK,OK,NOK,AUX. GENERATOR STARTUP AIR COMPRESSOR & VESSEL& DISTRIBUTION (UC-5138501A/B & V-UC-5138501A/B)
5139-501,NOK,OK,NOK,NOK,NOK,NOK,OK,NOK,NOK,OK,NOK,HYDRAULIC POWER UNIT A FOR SUBMERGED PUMPS & DISTRIBUTION & PORTABLE PUMP(UH-5139502A & B-5139502A/B)
5139-502,NOK,OK,NOK,NOK,NOK,NOK,OK,NOK,NOK,OK,NOK,HYDRAULIC POWER UNIT B FOR SUBMERGED PUMPS & DISTRIBUTION(UH-5139502B)
5252-501,NOK,OK,NOK,OK,NOK,NOK,OK,NOK,NOK,OK,NOK,WATER COOLED CHILLER UNIT A &  PRIMARY PUMP A(UR-5252501A & B-5252501A)
5252-502,NOK,OK,NOK,OK,NOK,NOK,OK,NOK,NOK,OK,NOK,WATER COOLED CHILLER UNIT B &  PRIMARY PUMP B(UR-5252501B & B-5252501B)
5252-503,NOK,OK,NOK,OK,NOK,NOK,OK,NOK,NOK,OK,NOK,WATER COOLED CHILLER UNIT C &  PRIMARY PUMP C(UR-5252501C & B-5252501C)
5252-504,NOK,OK,NOK,OK,NOK,NOK,OK,NOK,NOK,OK,NOK,WATER COOLED CHILLER UNIT D &  PRIMARY PUMP D(UR-5252501D & B-5252501D)
5252-508,NOK,OK,NOK,OK,NOK,NOK,OK,NOK,NOK,OK,NOK,AIR HANDLING UNIT FOR TELECOM CONTROL ROOM/TELECOM PANEL ROOM
5252-509,NOK,OK,NOK,OK,NOK,NOK,OK,NOK,NOK,OK,NOK,AIR HANDLING UNIT FOR CCR/RADIO ROOM
